                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1292,                 3.7308,                 1.2768,                0.00535,                   0.24,                0.02323,                0.01582,                0.97487,                 3.9941,                 1.2915,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.0961,                 3.7462,                 1.1413,                0.00731,                  0.245,                 0.1418,                0.09466,                0.66415,                 3.8098,                 1.1118,              9.801e-05,              9.801e-05,              9.801e-05
                      3,                 0.9916,                 3.5656,                 1.2757,                0.00987,                  0.255,                0.19701,                0.14727,                 0.5919,                 3.7652,                 1.0605,             0.00014938,             0.00014938,             0.00014938
                      4,                0.91156,                 3.2399,                 1.0933,                0.01229,                  0.255,                0.20066,                0.16118,                0.53345,                  3.695,                0.99999,             0.00019855,             0.00019855,             0.00019855
                      5,                0.84351,                 2.9823,                 1.0789,                0.01681,                  0.265,                0.20431,                0.16048,                0.56919,                 3.6364,                  1.002,             0.00024552,             0.00024552,             0.00024552
                      6,                0.88112,                  2.772,                  1.103,                0.01783,                   0.27,                0.20362,                0.15695,                0.59505,                 3.5298,                 1.0054,             0.00029029,             0.00029029,             0.00029029
                      7,                0.81608,                 2.7226,                 1.1071,                0.01567,                  0.265,                0.20409,                0.16006,                0.53629,                 3.2851,                0.96766,             0.00033286,             0.00033286,             0.00033286
                      8,                0.80321,                 2.1876,                 1.0553,                0.01567,                  0.265,                0.20409,                0.16006,                0.53629,                 3.2851,                0.96766,             0.00037324,             0.00037324,             0.00037324
                      9,                0.69013,                 1.9569,                 1.1127,                0.89454,                0.19338,                0.21234,                0.17106,                0.59816,                 2.8834,                0.98892,             0.00041141,             0.00041141,             0.00041141
                     10,                0.76299,                 1.9918,                 1.0947,                0.78944,                0.21289,                0.15461,                0.11744,                0.69999,                 2.5515,                 1.0987,             0.00044738,             0.00044738,             0.00044738
                     11,                0.85658,                 1.9529,                 1.0452,                0.78944,                0.21289,                0.15461,                0.11744,                0.69999,                 2.5515,                 1.0987,             0.00048115,             0.00048115,             0.00048115
                     12,                0.71483,                  1.796,                  1.058,                0.81109,                0.09816,                0.17672,                0.13182,                0.77706,                 2.2893,                 1.2347,             0.00051272,             0.00051272,             0.00051272
                     13,                0.78487,                 1.7894,                 1.0398,                0.81109,                0.09816,                0.17672,                0.13182,                0.77706,                 2.2893,                 1.2347,              0.0005421,              0.0005421,              0.0005421
                     14,                0.84195,                 1.7766,                 1.1509,                0.81109,                0.09816,                0.17672,                0.13182,                0.77706,                 2.2893,                 1.2347,             0.00056927,             0.00056927,             0.00056927
                     15,                0.92375,                 2.3901,                  1.125,                0.82129,                  0.145,                0.23285,                0.18074,                0.77067,                 2.3116,                 1.1966,             0.00059424,             0.00059424,             0.00059424
                     16,                 0.8797,                 1.9695,                 1.0769,                0.82129,                  0.145,                0.23285,                0.18074,                0.77067,                 2.3116,                 1.1966,             0.00061702,             0.00061702,             0.00061702
                     17,                0.97014,                 2.5456,                 1.1367,                0.82129,                  0.145,                0.23285,                0.18074,                0.77067,                 2.3116,                 1.1966,             0.00063759,             0.00063759,             0.00063759
                     18,                0.98526,                 1.9038,                 1.0665,                0.81328,                0.15836,                0.20726,                0.14867,                0.87211,                 2.2449,                 1.2395,             0.00065596,             0.00065596,             0.00065596
                     19,                 1.1433,                 2.5327,                 1.4142,                0.81328,                0.15836,                0.20726,                0.14867,                0.87211,                 2.2449,                 1.2395,             0.00067214,             0.00067214,             0.00067214
                     20,                 0.7748,                  1.701,                 1.0651,                0.81328,                0.15836,                0.20726,                0.14867,                0.87211,                 2.2449,                 1.2395,             0.00068611,             0.00068611,             0.00068611
                     21,                0.91876,                 1.9424,                 1.0934,                0.36374,                0.26928,                0.24652,                0.18128,                0.95544,                 2.2051,                 1.2938,             0.00067104,             0.00067104,             0.00067104
                     22,                0.74916,                  1.451,                0.96172,                0.36374,                0.26928,                0.24652,                0.18128,                0.95544,                 2.2051,                 1.2938,             0.00067104,             0.00067104,             0.00067104
                     23,                0.83827,                 2.3177,                0.95697,                0.36374,                0.26928,                0.24652,                0.18128,                0.95544,                 2.2051,                 1.2938,             0.00064905,             0.00064905,             0.00064905
                     24,                0.99409,                 2.1647,                 1.1401,                0.83378,                  0.325,                0.30654,                0.23315,                 0.8814,                 3.8676,                 1.3902,             0.00062705,             0.00062705,             0.00062705
                     25,                 0.9334,                 1.5402,                 1.0436,                0.83378,                  0.325,                0.30654,                0.23315,                 0.8814,                 3.8676,                 1.3902,             0.00060505,             0.00060505,             0.00060505
                     26,                0.95942,                 1.7897,                 1.1552,                0.83378,                  0.325,                0.30654,                0.23315,                 0.8814,                 3.8676,                 1.3902,             0.00058305,             0.00058305,             0.00058305
                     27,                0.96865,                 1.7128,                 1.0305,                0.88859,                  0.315,                0.34234,                0.26781,                0.80894,                 3.6731,                 1.2124,             0.00056105,             0.00056105,             0.00056105
                     28,                0.84868,                 1.3473,                 1.0241,                0.88859,                  0.315,                0.34234,                0.26781,                0.80894,                 3.6731,                 1.2124,             0.00053906,             0.00053906,             0.00053906
                     29,                0.89097,                 1.7389,                 1.1038,                0.88859,                  0.315,                0.34234,                0.26781,                0.80894,                 3.6731,                 1.2124,             0.00051706,             0.00051706,             0.00051706
                     30,                0.79183,                 1.5206,                 1.0164,                0.93986,                  0.305,                0.34613,                 0.2721,                0.68381,                  2.468,                  1.083,             0.00049506,             0.00049506,             0.00049506
                     31,                 0.9741,                 1.4953,                 1.0194,                0.93986,                  0.305,                0.34613,                 0.2721,                0.68381,                  2.468,                  1.083,             0.00047306,             0.00047306,             0.00047306
                     32,                0.86618,                 1.3493,                 1.0249,                0.93986,                  0.305,                0.34613,                 0.2721,                0.68381,                  2.468,                  1.083,             0.00045107,             0.00045107,             0.00045107
                     33,                0.89998,                  1.533,                 1.0499,                0.93986,                  0.305,                0.34613,                 0.2721,                0.68381,                  2.468,                  1.083,             0.00042907,             0.00042907,             0.00042907
                     34,                0.86654,                 1.8596,                 1.1035,                0.95238,                  0.295,                0.35512,                0.28352,                0.65759,                 2.0069,                 1.0599,             0.00040707,             0.00040707,             0.00040707
                     35,                0.82025,                  1.522,                 1.0271,                0.95238,                  0.295,                0.35512,                0.28352,                0.65759,                 2.0069,                 1.0599,             0.00038507,             0.00038507,             0.00038507
                     36,                0.79016,                 1.5101,                 1.0153,                0.95238,                  0.295,                0.35512,                0.28352,                0.65759,                 2.0069,                 1.0599,             0.00036307,             0.00036307,             0.00036307
                     37,                0.83886,                 1.4747,                 1.1024,                0.97212,                0.29948,                0.37047,                0.30155,                0.66183,                 1.6989,                 1.0567,             0.00034108,             0.00034108,             0.00034108
                     38,                0.85003,                 1.4673,                0.98834,                0.97212,                0.29948,                0.37047,                0.30155,                0.66183,                 1.6989,                 1.0567,             0.00031908,             0.00031908,             0.00031908
                     39,                 0.8127,                 1.3791,                 1.0457,                0.97212,                0.29948,                0.37047,                0.30155,                0.66183,                 1.6989,                 1.0567,             0.00029708,             0.00029708,             0.00029708
                     40,                0.76411,                 1.3326,                0.98367,                0.95647,                0.30169,                0.39493,                0.32753,                 0.6512,                 1.5774,                 1.0531,             0.00027508,             0.00027508,             0.00027508
                     41,                0.91039,                 2.3912,                 1.0435,                0.95647,                0.30169,                0.39493,                0.32753,                 0.6512,                 1.5774,                 1.0531,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.3282,                 3.9298,                 1.4292,                0.95647,                0.30169,                0.39493,                0.32753,                 0.6512,                 1.5774,                 1.0531,             0.00023109,             0.00023109,             0.00023109
                     43,                0.80844,                 2.1467,                 1.0739,                0.97266,                0.29967,                0.46515,                0.38409,                 0.6668,                 1.5602,                 1.0755,             0.00020909,             0.00020909,             0.00020909
                     44,                0.99041,                 1.8537,                 1.0639,                0.97266,                0.29967,                0.46515,                0.38409,                 0.6668,                 1.5602,                 1.0755,             0.00018709,             0.00018709,             0.00018709
                     45,                0.86931,                 2.0832,                 1.0551,                0.97266,                0.29967,                0.46515,                0.38409,                 0.6668,                 1.5602,                 1.0755,             0.00016509,             0.00016509,             0.00016509
                     46,                0.82992,                 2.3419,                 1.2491,                0.98353,                0.30994,                0.47062,                0.38173,                0.65335,                 1.5514,                 1.0449,              0.0001431,              0.0001431,              0.0001431
                     47,                0.99639,                 3.2015,                 1.0482,                0.98353,                0.30994,                0.47062,                0.38173,                0.65335,                 1.5514,                 1.0449,              0.0001211,              0.0001211,              0.0001211
                     48,                0.94125,                 2.0562,                  1.187,                0.98353,                0.30994,                0.47062,                0.38173,                0.65335,                 1.5514,                 1.0449,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 1.0567,                 2.2582,                 1.1723,                0.98353,                0.30994,                0.47062,                0.38173,                0.65335,                 1.5514,                 1.0449,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.76883,                 2.3022,                 1.0365,                0.98411,                0.32303,                0.46878,                0.38383,                0.65521,                 1.5782,                 1.0483,             5.5106e-05,             5.5106e-05,             5.5106e-05
